rxcui,og_score,og_query,rxnorm_concept,new_score,new_score_ord
311787.0,100,moxifloxacin oral 400 mg film-coated tablet,moxifloxacin 400 MG Oral Tablet,58,39
316408.0,75,omperezole 20 mg,omeprazole 20 MG,68,68
7405.0,50,3 vitamin compound,niacinamide,27,22
310273.0,100,famotidine tablet 20 mg,famotidine 20 MG Oral Tablet,42,21
203058.0,100,vepeside,,0,0
1801295.0,89,klor-con m20 tab 20 meq er,Microencapsulated potassium chloride 20 MEQ Extended Release Oral Tablet [Klor-Con],16,19
107334.0,100,diclofenac sodium /misoprostol,,0,0
49270.0,100,dotarem,,0,0
337045.0,100,aranesp,Aranesp,85,85
372545.0,69,cetorolac generis injectable solution,ketorolac Injectable Solution,70,18
1191.0,50,acetylsalicylic acid+dipyridamole sandoz,aspirin,15,15
1661561.0,100,avil,avilamycin,40,40
1191.0,33,cardiac stent-asa,aspirin,17,17
1895.0,50,calcium?magn,calcium,58,58
161.0,50,hydro?apap,acetaminophen,7,7
89905.0,100,multivitamin,,0,0
197877.0,89,lidocaine/prilocaine 2.5/2.5 fongera topical cream,lidocaine 25 MG/ML / prilocaine 25 MG/ML Topical Cream,53,38
6823.0,75,octonal,methaqualone,25,25
1546166.0,100,aprol,aprolium,62,62
236495.0,50,tamsulison,tamsulosin hydrochloride,33,33
1099049.0,50,leavamlopidine besylate,Sylatron,13,26
352257.0,75,xyrem oral solution 500mg/ml,sodium oxybate 500 MG/ML Oral Solution [Xyrem],34,45
690606.0,60,balsam peru\bismuth hydroxide\bismuth subgallate\boric acid\zinc oxide,,0,0
214181.0,100,apap/diphenhydramine,acetaminophen / diphenhydramine,61,58
863628.0,63,oxybutynin cler oral 15 mg tablet,24 HR oxybutynin chloride 15 MG Extended Release Oral Tablet,38,25
1924576.0,50,accord,,0,0
151889.0,50,imodium adv,Imodium,54,54
,0,lercanidipinalercanidipine hydrochloride,,0,0
828272.0,25,uroxacin,Uramaxin,50,50
259258.0,32,spasmex 45 mg oral,S-adenosylmethionine 200 MG Delayed Release Oral Tablet,18,20
1798453.0,40,oral 1 df tablet,acetaminophen 500 MG / dexbrompheniramine maleate 1 MG Oral Tablet,19,19
151823.0,100,glucagen,GlucaGen,75,75
1182722.0,25,tresemme shampoo and conditioner topical,Triderm Topical Product,25,32
1939792.0,67,gsk2636771b,,0,0
1806430.0,100,oestradiol patch,,0,0
312831.0,88,risperidone actavis oral 2 mg film-coated tablet,risperidone 2 MG Oral Tablet,45,35
30236.0,100,morphine,morphine sulfate,50,50
2054642.0,100,zolpidem tartrate tablet,,0,0
352845.0,100,ocuvite with lutein,Ocuvite Lutein,63,63
219789.0,67,saline nose spray,,0,0
202559.0,25,immugrip,Imuran,37,37
11253.0,100,vit d.,vitamin D,33,33
9853.0,100,na,sodium,0,0
262418.0,100,altace,Altace,83,83
1816692.0,50,adrenaline 00003901/,,0,0
214525.0,100,pegylated liposomal doxorubicin,doxorubicin liposome,19,64
993837.0,80,tylenol-codeine no 3,acetaminophen 300 MG / codeine phosphate 30 MG Oral Tablet [Tylenol with Codeine],17,22
727552.0,50,mucinex dm 60?1200 mg,guaifenesin 1200 MG [Mucinex],20,27
84815.0,100,adderall,Adderall,87,87
310982.0,80,imiquimod cream 5 glenmark topical,imiquimod 50 MG/ML Topical Cream,38,32
396800.0,33,corticosterod nos,,0,0
1867217.0,100,ts-1,,0,0
596.0,50,aprazolom,alprazolam,80,80
1594643.0,100,trical,Tricalm,71,71
10597.0,75,timidal,tilidine,50,50
155137.0,100,sertraline hydrochloride,sertraline hydrochloride,100,100
3389.0,100,diethylpropion,diethylpropion,100,100
9853.0,100,na,sodium,0,0
11248.0,100,cyanocobalamin,vitamin B12,0,28
2623.0,100,clotrimazole,clotrimazole,100,100
607961.0,57,ferrous gluconate w/folic acid,,0,0
349401.0,89,amlodipine besylate\olmesartan medoxomil oral 20 mg film-coated tablet,olmesartan medoxomil 20 MG Oral Tablet,45,32
1588.0,100,biotine,biotin,85,85
833530.0,100,cordarone 200 mg oral tablet,amiodarone hydrochloride 200 MG Oral Tablet [Cordarone],38,30
1371389.0,43,hydrochlorothiazide 19.5 mg once a day,,0,0
218772.0,50,narcom,Norco,50,50
28004.0,100,isosorbide nitrate,isosorbide mononitrate,81,81
104592.0,75,cyproheptidine,cyproheptadine hydrochloride,46,46
484139.0,100,chlorhexidine gluconate\isopropyl alcohol,chlorhexidine / isopropyl alcohol,75,70
43611.0,100,latanoprost ophthalmic,latanoprost,50,50
1159901.0,100,polymyxin b sulfate\trimethoprim ophthalmic,polymyxin B / trimethoprim Ophthalmic Product,60,55
1482676.0,28,diafer er  100.0 mg,undecylenic acid 100 MG/ML [Diaderm],25,25
152523.0,75,azantac,Zantac,71,71
313566.0,83,valganciclovir oral 450.0 mg tablet,valganciclovir 450 MG Oral Tablet,62,82
198051.0,57,omeprazole pr oral 20.0 mg,omeprazole 20 MG Delayed Release Oral Capsule,35,26
21216.0,67,amoxicilline + acide clavulanique,clavulanic acid,21,42
900527.0,75,aspirin/caffeine powder,aspirin / caffeine Oral Powder,73,26
749860.0,83,norgestimate and ethinyl estradiol tablet usp 0.25 mg/0.035 mg,{21 (ethinyl estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack,21,22
235224.0,100,terazosin,terazosin hydrochloride,39,39
1371389.0,50,x-a-day,,0,0
17767.0,38,valsartana + anlodipino,amlodipine,34,34
7226.0,50,nadlolo,nadolol,71,71
329012.0,75,melatonin 3 9 mg,melatonin 3 MG,75,68
323828.0,75,rosuvastatin calcium,rosuvastatin calcium,100,100
316986.0,67,topical cutaneous solution,Topical Solution,53,53
858828.0,63,enalapril-hctz 10 25 mg teva usa,enalapril maleate 10 MG / hydrochlorothiazide 25 MG Oral Tablet,30,31
2184116.0,100,amlodipine mesylate,amlodipine benzoate,78,78
236771.0,63,perazindimalonat,perazine dimalonate,84,15
5032.0,50,fuafenesin,guaifenesin,81,81
7804.0,50,oxycodone-ac,oxycodone,75,75
4492.0,100,5-fu,fluorouracil,8,8
1799649.0,50,septanest sp,SPS,0,0
1665473.0,57,herbal oral 2.5 g granule,uridine triacetate 2000 MG Oral Granules [Xuriden],26,26
215910.0,100,cartrol,,0,0
9853.0,100,na,sodium,0,0
1350209.0,100,rhamnus purshiana bark extract,Frangula purshiana bark extract,80,45
360919.0,70,diapam  5.0 mg,diazepam 0.5 MG/ML,44,27
9853.0,100,na,sodium,0,0
1940250.0,40,centrum complete multivitamin,,0,0
2418.0,100,cholecalciferol,cholecalciferol,100,100
1427928.0,33,experimental therapy,,0,0
214182.0,67,acetaminophen w hydrocodone,acetaminophen / hydrocodone,96,85
10368.0,100,terbutaline sulphate,terbutaline,55,55
482574.0,50,cymblata,Cymbalta,62,62
1928864.0,28,fraxiparina forte 0.8 ml solution for injection,1.7 ML articaine hydrochloride 40 MG/ML / epinephrine bitartrate 0.018 MG/ML Cartridge [Ultacan],19,23
4492.0,100,5-fu,fluorouracil,8,8
656386.0,100,b 100 vitamin,,0,0
4024.0,67,redergin dihydroergotoxine mesilate,"ergoloid mesylates, USP",22,40
316130.0,75,lamotrigine 200 mg zydus,lamotrigine 200 MG,66,50
1601374.0,100,palbociclib,palbociclib,100,100
202702.0,100,medrol,Medrol,83,83
433798.0,88,alprazolam tab 0.5 mg er,24 HR alprazolam 0.5 MG Extended Release Oral Tablet,30,23
28908.0,100,loxoprofen,loxoprofen,100,100
42351.0,67,lithium carbonate oba,lithium carbonate,80,80
203114.0,100,amiodarone,amiodarone hydrochloride,41,41
218755.0,50,nivea moisturizer,,0,0
1441664.0,100,aconitine,aconitine,100,100
897649.0,88,verapamil hydrochloride oral 240.0 mg extend release tablet,verapamil hydrochloride 240 MG Extended Release Oral Tablet,67,40
183379.0,100,rivastigmin,rivastigmine,91,91
25789.0,100,glimepiride,glimepiride,100,100
7983.0,100,procaine penicillin,penicillin G procaine,28,90
794229.0,63,low dose bayer aspirin 81,aspirin 81 MG Delayed Release Oral Tablet [Bayer Aspirin],26,33
3628.0,8,dormicum 15 mg,dopamine,21,21
317009.0,67,inhalation cutaneous powder,Topical Powder,33,14
298869.0,75,eplerbenone,eplerenone,90,90
892246.0,100,levothyroxine sodium oral 0.1 mg tablet,levothyroxine sodium 0.1 MG Oral Tablet,69,23
4603.0,100,furosemid,furosemide,90,90
218977.0,100,oxistat,Oxistat,85,85
198188.0,83,ramipril oral 2.5 mg,ramipril 2.5 MG Oral Capsule,46,60
1007537.0,100,glucosamine chondroitin msm,chondroitin sulfates / glucosamine / methylsulfonylmethane,24,46
1423683.0,13,pain cream precison rx,glyceryl palmitostearate,16,12
1606471.0,25,muscerol,muscone,50,50
10368.0,33,bricanyl turbohaler/terbutalin,terbutaline,30,30
483860.0,50,targosid intravenous 30 mg powder and solvent for solution injection,,0,0
197944.0,80,methocarbam 750 mg tab camb,methocarbamol 750 MG Oral Tablet,62,40
2258814.0,80,calcium plus vitamin d d3,,0,0
215568.0,67,genuine bayer aspirin,Bayer Aspirin,52,52
261417.0,67,quinapril and hydrochlorothiazide ongoing,hydrochlorothiazide / quinapril,43,73
328489.0,43,minocycline 100 mg mfr.watson labs/dist,minocycline 100 MG,41,41
358819.0,80,oxaliplatin teva 5mg/ml,oxaliplatin 5 MG/ML,60,56
203832.0,50,paroxat,Parnate,42,42
4632.0,50,b-galactosidase,,0,0
214182.0,50,paracetamol + hydrocodone bitartrate,acetaminophen / hydrocodone,41,36
487047.0,67,brompheniramine maleate\dextromethorphan hydrobromide\pseudoephedrine hydrochloride oral,brompheniramine / dextromethorphan / pseudoephedrine Oral Suspension,57,23
9853.0,100,na,sodium,0,0
4337.0,75,fentantyl,fentanyl,88,88
81973.0,50,powder laxative,,0,0
1426255.0,50,glycolic acid,glycol stearate,46,13
141625.0,100,colesevelam,colesevelam hydrochloride,44,44
,0,oral 100.0 mg,,0,0
199318.0,45,venolat oral tablet,folic acid 5 MG Oral Tablet,40,44
705824.0,100,zoledronic acid injection 5 mg /100 ml,100 ML zoledronic acid 0.05 MG/ML Injection,34,51
2283546.0,33,oral 1.0 df,cholecalciferol 0.095 MG / folic acid 1 MG Oral Tablet,14,12
362.0,33,epinephrine intravenous drip,epinephrine hydrochloride,53,42
4981.0,100,aurothiomalate sodium,gold sodium thiomalate,18,18
6835.0,100,methimazole,methimazole,100,100
261702.0,100,xopenex,Xopenex,85,85
857007.0,71,norco 7.5/325  tablet,acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Norco],20,19
261551.0,50,lantus flexpen,Lantus,35,35
284799.0,50,nexium dr,Nexium,55,55
1309490.0,50,ginseng beeswax;glycine max seed oil;panax root,Panax ginseng root water extract,23,34
352845.0,100,ocuvite and lutein,Ocuvite Lutein,66,66
214183.0,100,oxycodone/acetaminophen,acetaminophen / oxycodone,12,20
1442200.0,100,red yeast,Monascus purpureus,11,11
2276635.0,50,woman 's daily multivitamin tablet,,0,0
6650.0,100,marijuana,,0,0
6141.0,50,ketonal forte,,0,0
259966.0,80,methylprednisolone tablet usp 4 mg,methylprednisolone 4 MG Oral Tablet,54,17
617312.0,55,atorvastatin calcium\ezetimibe oral 1 df film coated tablet,atorvastatin 10 MG Oral Tablet,38,22
707418.0,67,antibacterial soap,,0,0
1893445.0,25,ass 100 ct,,0,0
4719.0,100,gemfibrozil,gemfibrozil,100,100
142442.0,100,naproxen sodium,naproxen sodium,100,100
2054489.0,100,cefuroxime axetil  tablet,,0,0
85762.0,50,ritonavir + tipranavir,ritonavir,40,40
316131.0,92,lamotrogine 25 mg,lamotrigine 25 MG,82,58
202433.0,75,tylenon,Tylenol,71,71
312829.0,78,risperidone aurobindo film-coated tablet 0.5 mg,risperidone 0.5 MG Oral Tablet,42,38
71722.0,100,docusate sodium,docusate sodium,100,100
605203.0,100,glucosamine and chondroitin,,0,0
974527.0,33,thyme/ginger tea,thyme allergenic extract,41,12
,0,motilitone tablet,,0,0
258337.0,100,triamterene with hctz,hydrochlorothiazide / triamterene,18,33
33738.0,25,proglitozine,pioglitazone,75,75
200064.0,28,lamprozol oral 30.0 mg,letrozole 2.5 MG Oral Tablet,32,21
1309389.0,50,relmus,emu oil,14,14
150816.0,100,imipramine,imipramine hydrochloride,41,41
,0,oral 20.0 mg,,0,0
824296.0,100,banzel,Banzel,83,83
607878.0,75,b6 + b12 folic acid,,0,0
105586.0,100,methotrexate sodium oral 10 mg tablet,methotrexate 10 MG Oral Tablet,62,21
203130.0,50,nortriptyline hc,nortriptyline hydrochloride,59,59
1008035.0,80,calcium citrate/;magnesium citrate,calcium citrate / cholecalciferol / magnesium citrate,62,58
52175.0,50,losartan/hclz,losartan,61,61
2361334.0,50,viamin c,,0,0
604360.0,31,super food herbal sup + vitaminc,,0,0
6876.0,50,alpha methy dopa,methyldopa,56,31
1007909.0,40,valoron n naloxone hydrochloride;tilidine hy,naloxone / tilidine,38,27
312076.0,83,olanzapine teva 10 mg orodispersible tablet,olanzapine 10 MG Disintegrating Oral Tablet,44,23
2047602.0,60,erythropoietin subcutaneous 2000.0 iu solution for injection,1 ML epoetin alfa-epbx 2000 UNT/ML Injection [Retacrit],31,18
238318.0,63,white petrolatum-mineral oil eye ointment,,0,0
38413.0,33,tora dol,torsemide,33,11
583582.0,60,vitamin b complex;ascorbic acid;vitamins nos unk oral,,0,0
1895.0,50,calcio base,calcium,45,36
372651.0,100,losartan oral tablet,losartan Oral Tablet,90,15
4603.0,14,furosemida sandoz 40 mg comprimido efg 30,furosemide,24,21
9853.0,100,na,sodium,0,0
82112.0,75,tradodone hcl,trazodone hydrochloride,52,52
1295836.0,67,bc powder arthritis strength oral,BC Arthritis Oral Powder Product,18,63
242446.0,33,ophthalmic 0.8 ml ear drop,ofloxacin 3 MG/ML Otic Solution,19,16
309322.0,57,oral 250 mg granule,clarithromycin 50 MG/ML Oral Suspension,23,20
1799706.0,67,intralipid 20 intravenous 250 ml,250 ML soybean oil 200 MG/ML Injection [Intralipid],17,31
2369407.0,63,capsaicin\eucalyptus oil\methyl salicylate\racementhol topical,camphor / capsaicin / methyl salicylate Topical Oil,40,25
1166568.0,67,ixempra for inj,IXEMPRA Injectable Product,7,19
1094103.0,100,phenazopyridine 200 mg,phenazopyridine hydrochloride 200 MG,55,55
352376.0,100,ethinyl estradiol\etonogestrel,ethinyl estradiol / etonogestrel,90,43
214824.0,50,sevelamar,sevelamer,88,88
1597377.0,83,ombitasvir w/paritaprevir/ritonavir oral tablet,ombitasvir / paritaprevir / ritonavir Oral Tablet,87,51
200329.0,83,omeprazole oral 40.0 mg capsule,omeprazole 40 MG Delayed Release Oral Capsule,46,40
2045382.0,30,parenteral 50.0 ug powder,30 ACTUAT fluticasone furoate 0.05 MG/ACTUAT Dry Powder Inhaler [Arnuity],19,20
1314362.0,100,ethylene,ethylene,100,100
217184.0,86,b-complex with vitamin c-folic acid,,0,0
24305.0,75,erdosteina,erdosteine,90,90
118463.0,100,olmesartan medoxomil,olmesartan medoxomil,100,100
855626.0,86,diclofenac epolamine topical patch 1.3,Twice-Daily diclofenac epolamine 0.013 MG/MG Medicated Patch,41,23
790680.0,50,sumal,,0,0
26225.0,100,ondansetron hydrochloride,ondansetron,44,44
993069.0,100,lumizyme,Lumizyme,87,87
2284708.0,50,mega food,,0,0
372595.0,60,levothyroxine oral 1 df tablet,levothyroxine Oral Tablet,76,26
8588.0,75,kalsium,potassium,55,55
377747.0,100,lindane lotion,lindane Topical Lotion,63,22
581255.0,38,breva aerosol,Prosol,38,38
655447.0,100,chlorhexidine solution,,0,0
152021.0,75,dicycloamine hcl,dicyclomine hydrochloride,56,56
510.0,100,allergen,,0,0
892612.0,43,blue crab cutaneous solution for injection,crab allergenic extract Injectable Solution,18,16
1791591.0,57,biapenem intravenous .3 g injection,ifosfamide 3000 MG Injection [Ifex],17,11
217227.0,67,vascazen 1 g,,0,0
2955.0,100,curcumin,curcumin,100,100
1049615.0,75,oxycodone hydrochloride oral 5.0 mg solution,oxycodone hydrochloride 20 MG/ML Oral Solution,71,17
284764.0,100,lescol xl,,0,0
4507.0,100,fluspirilene,fluspirilene,100,100
61455.0,100,mizolastina,mizolastine,90,90
360318.0,100,sirolimus 2 mg,sirolimus 2 MG,85,85
1536581.0,50,xifan,Xulane,33,33
1152986.0,100,benzoyl peroxide\salicylic acid topical,benzoyl peroxide / salicylic acid Topical Product,75,44
897596.0,21,allo?ct 300 mg 300.0,24 HR verapamil hydrochloride 300 MG Extended Release Oral Capsule,15,16
850306.0,17,anti hypert ensive,Besivance,16,27
,0,intravenous 1000.0 ml,,0,0
11248.0,100,vitamin b 12,vitamin B12,83,75
18867.0,75,benazeperil,benazepril,90,90
352393.0,33,abilify i m,Abilify,54,54
1995.0,50,i-caps,,0,0
2181996.0,33,fulvestrant injection single use prefille syrinx,,0,0
320864.0,75,crestar,Crestor,71,71
89905.0,50,multi vitamin nature make,,0,0
9853.0,100,na,sodium,0,0
48470.0,100,creon,Creon,80,80
353527.0,25,uralos max,Urelle,20,20
1311504.0,50,adc al,aluminum,12,12
669012.0,100,allergy and cold pe,,0,0
4301.0,100,omega 3 fatty acid,omega-3 fatty acids,89,73
,0,motilexclebopride maleate,,0,0
322249.0,100,frovatriptan succinate monohydrate,frovatriptan succinate,64,64
202779.0,50,aristocort cream,,0,0
,0,coaprovel,,0,0
1174346.0,40,no tear ophthalmic,Bion Tears Ophthalmic Product,51,55
221124.0,100,metoprolol s,metoprolol succinate,60,60
7486.0,100,n2o,nitrous oxide,15,15
617296.0,60,amoxicillin\clavulanate potassium oral 500.0 mg,amoxicillin 500 MG / clavulanate 125 MG Oral Tablet,45,15
281.0,75,acyclovit,acyclovir,88,88
1484918.0,50,sovaldi 400 mg gilead science,sofosbuvir 400 MG [Sovaldi],27,20
392643.0,100,tramadol/acetaminophen,,0,0
218635.0,67,natural thyroid medicine,,0,0
2068.0,33,unspecified diabete shot,carbutamide,12,16
1013628.0,42,calcium carbonate\cholecalciferol 1.0 df film-coated tablet,levomefolate calcium 0.451 MG Oral Tablet,35,25
565323.0,28,crinozol oral 100.0 mg,progesterone 0.08 MG/MG [Crinone],15,27
42527.0,50,amfotericine,amphotericin,75,75
859032.0,100,pramipexole 0.125 mg,pramipexole dihydrochloride 0.125 MG,50,50
372588.0,100,levofloxacin  tablet,levofloxacin Oral Tablet,79,25
6387.0,100,lidocaine,lidocaine,100,100
203167.0,100,keflex,Keflex,83,83
9500.0,38,beta carotine,rutin,30,30
327148.0,50,symbicort spray,Symbicort,53,53
7646.0,50,omeprazole teva,omeprazole,66,66
1856080.0,25,juice plus whole food capsules-fruit/vegetable/vineyard blend,,0,0
477560.0,50,fenofibrate oral 1.0 df film-coated tablet,fenofibrate 145 MG Oral Tablet,52,26
198148.0,80,apo prednisone tab 50 mg,prednisone 50 MG Oral Tablet,32,39
203831.0,25,biosedon s,Biolon,40,40
20206.0,17,urbason 250 mg,carbarson,28,35
2388387.0,100,influenza vaccine,,0,0
215407.0,100,armour thyroid,Armour Thyroid,85,85
284245.0,67,famotidine other 40.0 mg tablet,famotidine 40 MG Oral Tablet,58,19
1743255.0,100,adzenys xr?odt,,0,0
815308.0,100,polyethylene glycol 3350\potassium chloride\sodium bicarbonate\sodium chloride,polyethylene glycol 3350 / potassium chloride / sodium bicarbonate / sodium chloride,89,38
854241.0,27,enoxaparin 80 mg sq once daily,0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe,32,28
466581.0,43,acetaminophen\caffeine\promethazine\salicylamide 1.0 mg,acetaminophen / caffeine / salicylamide,56,61
308165.0,46,amobante oral 10.0 mg tablet,amobarbital 50 MG Oral Tablet,48,24
725105.0,58,"exelon 9,5mg/24h 1.0 df transdermal patch",24 HR rivastigmine 0.396 MG/HR Transdermal System [Exelon],29,22
1992276.0,71,clobetasol propionate topical 0.05 pct cutaneous foam,,0,0
371602.0,100,clozapine tablet,clozapine Oral Tablet,71,19
1489118.0,50,preservision ards2,,0,0
82000.0,100,colace,Colace,83,83
863.0,50,antacid tablet,,0,0
435363.0,33,hoggar balance,,0,0
1000140.0,67,estrogen conjugated\medroxyprogesterone acetate 5 mg,medroxyprogesterone acetate 5 MG,57,50
43611.0,33,latanoprost opthalmic drop,latanoprost,42,42
4055.0,100,erythromycine,erythromycin estolate,61,61
197886.0,100,lisino/hctz tab 20?12.5 mg,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet,13,17
202715.0,50,noiromin,,0,0
1171147.0,67,euflexxa injection,Euflexxa Injectable Product,51,51
11253.0,67,calcidose vitamine d,vitamin D,40,40
351429.0,11,cq?10,24 HR nicotine 0.875 MG/HR Transdermal System [Nicoderm C-Q],3,1
4449.0,100,fluanxol,,0,0
10582.0,100,levothyroxine,levothyroxine,100,100
1940250.0,50,multivitamin formulation,,0,0
1670012.0,75,treciba,Tresiba,71,71
539812.0,50,respicare,Vesicare,77,77
202982.0,100,taxotere,Taxotere,87,87
1010032.0,38,lido visc/diphen/maalox oral 10 ml,lidocaine hydrochloride 10 MG/ML,26,20
892588.0,75,morphine 2 mg,morphine sulfate 2 MG/ML,45,45
203199.0,100,protriptyline hydrochloride,protriptyline hydrochloride,100,100
809864.0,100,c1?inhibitor plasma derive,C1 esterase inhibitor (human),24,13
9853.0,100,na,sodium,0,0
371325.0,100,cefdinir oral capsule,cefdinir Oral Capsule,90,47
144254.0,100,lortab,Lortab,83,83
4890.0,50,gluthione,glutathione,81,81
142432.0,50,clonipan,clonidine hydrochloride,26,26
1486130.0,100,prenate,,0,0
217389.0,80,gramicidin+neomycin+polymyxin b sandoz,,0,0
348719.0,56,tobramycin 300mg/5ml akorn inc,tobramycin 60 MG/ML Inhalation Solution,43,38
153165.0,75,lypitor,Lipitor,71,71
825180.0,64,bayer chewable low dose aspirin orange flavor oral tablet,aspirin 81 MG Chewable Tablet [Bayer Aspirin],19,31
4821.0,75,glipazide,glipizide,88,88
1546423.0,38,aspro acetylsalicylic acid,ethyl salicylate,38,38
161.0,100,paracetamol,acetaminophen,30,30
751616.0,54,bystloic oral 10.0 mg,nebivolol 10 MG Oral Tablet [Bystolic],23,31
323640.0,100,remodulin,Remodulin,88,88
9853.0,100,na,sodium,0,0
284635.0,100,fluticasone salmeterol,fluticasone / salmeterol,91,91
1604540.0,100,toujeo,Toujeo,83,83
310384.0,100,fluoxetine hcl oral capsule 10 mg,fluoxetine 10 MG Oral Capsule,60,36
4492.0,63,5 fluoroacyl,fluorouracil,58,58
308416.0,100,aspirin 81 oral tablet delay release mg,aspirin 81 MG Delayed Release Oral Tablet,46,41
11253.0,40,"vitamin d 50,000 q wk",vitamin D,38,38
9143.0,100,ranitidine,ranitidine,100,100
280611.0,100,bemiparin,bemiparin,100,100
194881.0,50,brinzolamide timolol,brinzolamide,60,60
214199.0,67,ipratropium/albuterol duoneb,albuterol / ipratropium,21,28
763540.0,75,corvazal,,0,0
597850.0,68,nateglinide/anegrelide oral 0.5 mg,anagrelide 0.5 MG Oral Capsule,26,38
1047755.0,25,topical cutaneous liquid,ethanol 0.75 ML/ML Topical Solution,20,28
1489118.0,67,ared2,,0,0
2184.0,75,cefoperazin,cefoperazone,83,83
36387.0,100,senna s,"sennosides, USP",33,33
7419.0,100,nifuratel,nifuratel,100,100
710529.0,100,nuvare,NuvaRing,37,37
9853.0,100,na,sodium,0,0
329760.0,80,ferrous sulfate 325 mg bid,ferrous sulfate 325 MG,76,76
125921.0,100,ginger root,ginger root,100,100
42769.0,17,alpha lipoeic acid,licorice,27,22
151612.0,50,dexedrine ir,Dexedrine,66,66
236474.0,25,fexofamidine,fexofenadine hydrochloride,38,38
226716.0,100,aspirin;dipyridamole,aspirin / dipyridamole,86,86
19143.0,100,beta?carotene,beta carotene,92,92
151679.0,25,spectone,,0,0
235824.0,100,azelastine,azelastine hydrochloride,41,41
