rxcui,og_score,og_query,rxnorm_concept
1801295.0,89,klor-con m20 tab 20 meq er,Microencapsulated potassium chloride 20 MEQ Extended Release Oral Tablet [Klor-Con]
107334.0,100,diclofenac sodium /misoprostol,<NA>
49270.0,100,dotarem,<NA>
337045.0,100,aranesp,Aranesp
372545.0,69,cetorolac generis injectable solution,ketorolac Injectable Solution
1191.0,50,acetylsalicylic acid+dipyridamole sandoz,aspirin
1661561.0,100,avil,avilamycin
1191.0,33,cardiac stent-asa,aspirin
1895.0,50,calcium?magn,calcium
161.0,50,hydro?apap,acetaminophen
89905.0,100,multivitamin,<NA>
197877.0,89,lidocaine/prilocaine 2.5/2.5 fongera topical cream,lidocaine 25 MG/ML / prilocaine 25 MG/ML Topical Cream
6823.0,75,octonal,methaqualone
1546166.0,100,aprol,aprolium
236495.0,50,tamsulison,tamsulosin hydrochloride
1099049.0,50,leavamlopidine besylate,Sylatron
352257.0,75,xyrem oral solution 500mg/ml,sodium oxybate 500 MG/ML Oral Solution [Xyrem]
690606.0,60,balsam peru\bismuth hydroxide\bismuth subgallate\boric acid\zinc oxide,<NA>
214181.0,100,apap/diphenhydramine,acetaminophen / diphenhydramine
863628.0,63,oxybutynin cler oral 15 mg tablet,24 HR oxybutynin chloride 15 MG Extended Release Oral Tablet
1924576.0,50,accord,<NA>
151889.0,50,imodium adv,Imodium
,0,lercanidipinalercanidipine hydrochloride,<NA>
828272.0,25,uroxacin,Uramaxin
259258.0,32,spasmex 45 mg oral,S-adenosylmethionine 200 MG Delayed Release Oral Tablet
1798453.0,40,oral 1 df tablet,acetaminophen 500 MG / dexbrompheniramine maleate 1 MG Oral Tablet
151823.0,100,glucagen,GlucaGen
1182722.0,25,tresemme shampoo and conditioner topical,Triderm Topical Product
1939792.0,67,gsk2636771b,<NA>
1806430.0,100,oestradiol patch,<NA>
312831.0,88,risperidone actavis oral 2 mg film-coated tablet,risperidone 2 MG Oral Tablet
30236.0,100,morphine,morphine sulfate
2054642.0,100,zolpidem tartrate tablet,<NA>
352845.0,100,ocuvite with lutein,Ocuvite Lutein
219789.0,67,saline nose spray,<NA>
202559.0,25,immugrip,Imuran
11253.0,100,vit d.,vitamin D
9853.0,100,na,sodium
262418.0,100,altace,Altace
1816692.0,50,adrenaline 00003901/,<NA>
214525.0,100,pegylated liposomal doxorubicin,doxorubicin liposome
993837.0,80,tylenol-codeine no 3,acetaminophen 300 MG / codeine phosphate 30 MG Oral Tablet [Tylenol with Codeine]
727552.0,50,mucinex dm 60?1200 mg,guaifenesin 1200 MG [Mucinex]
84815.0,100,adderall,Adderall
310982.0,80,imiquimod cream 5 glenmark topical,imiquimod 50 MG/ML Topical Cream
396800.0,33,corticosterod nos,<NA>
1867217.0,100,ts-1,<NA>
596.0,50,aprazolom,alprazolam
1594643.0,100,trical,Tricalm
10597.0,75,timidal,tilidine
155137.0,100,sertraline hydrochloride,sertraline hydrochloride
3389.0,100,diethylpropion,diethylpropion
9853.0,100,na,sodium
11248.0,100,cyanocobalamin,vitamin B12
2623.0,100,clotrimazole,clotrimazole
607961.0,57,ferrous gluconate w/folic acid,<NA>
349401.0,89,amlodipine besylate\olmesartan medoxomil oral 20 mg film-coated tablet,olmesartan medoxomil 20 MG Oral Tablet
1588.0,100,biotine,biotin
833530.0,100,cordarone 200 mg oral tablet,amiodarone hydrochloride 200 MG Oral Tablet [Cordarone]
1371389.0,43,hydrochlorothiazide 19.5 mg once a day,<NA>
218772.0,50,narcom,Norco
28004.0,100,isosorbide nitrate,isosorbide mononitrate
104592.0,75,cyproheptidine,cyproheptadine hydrochloride
484139.0,100,chlorhexidine gluconate\isopropyl alcohol,chlorhexidine / isopropyl alcohol
43611.0,100,latanoprost ophthalmic,latanoprost
1159901.0,100,polymyxin b sulfate\trimethoprim ophthalmic,polymyxin B / trimethoprim Ophthalmic Product
1482676.0,28,diafer er  100.0 mg,undecylenic acid 100 MG/ML [Diaderm]
152523.0,75,azantac,Zantac
313566.0,83,valganciclovir oral 450.0 mg tablet,valganciclovir 450 MG Oral Tablet
198051.0,57,omeprazole pr oral 20.0 mg,omeprazole 20 MG Delayed Release Oral Capsule
21216.0,67,amoxicilline + acide clavulanique,clavulanic acid
900527.0,75,aspirin/caffeine powder,aspirin / caffeine Oral Powder
749860.0,83,norgestimate and ethinyl estradiol tablet usp 0.25 mg/0.035 mg,{21 (ethinyl estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack
235224.0,100,terazosin,terazosin hydrochloride
1371389.0,50,x-a-day,<NA>
17767.0,38,valsartana + anlodipino,amlodipine
7226.0,50,nadlolo,nadolol
329012.0,75,melatonin 3 9 mg,melatonin 3 MG
323828.0,75,rosuvastatin calcium,rosuvastatin calcium
316986.0,67,topical cutaneous solution,Topical Solution
858828.0,63,enalapril-hctz 10 25 mg teva usa,enalapril maleate 10 MG / hydrochlorothiazide 25 MG Oral Tablet
2184116.0,100,amlodipine mesylate,amlodipine benzoate
236771.0,63,perazindimalonat,perazine dimalonate
5032.0,50,fuafenesin,guaifenesin
7804.0,50,oxycodone-ac,oxycodone
4492.0,100,5-fu,fluorouracil
1799649.0,50,septanest sp,SPS
1665473.0,57,herbal oral 2.5 g granule,uridine triacetate 2000 MG Oral Granules [Xuriden]
215910.0,100,cartrol,<NA>
9853.0,100,na,sodium
1350209.0,100,rhamnus purshiana bark extract,Frangula purshiana bark extract
360919.0,70,diapam  5.0 mg,diazepam 0.5 MG/ML
9853.0,100,na,sodium
1940250.0,40,centrum complete multivitamin,<NA>
2418.0,100,cholecalciferol,cholecalciferol
1427928.0,33,experimental therapy,<NA>
214182.0,67,acetaminophen w hydrocodone,acetaminophen / hydrocodone
10368.0,100,terbutaline sulphate,terbutaline
482574.0,50,cymblata,Cymbalta
1928864.0,28,fraxiparina forte 0.8 ml solution for injection,1.7 ML articaine hydrochloride 40 MG/ML / epinephrine bitartrate 0.018 MG/ML Cartridge [Ultacan]
4492.0,100,5-fu,fluorouracil
656386.0,100,b 100 vitamin,<NA>
4024.0,67,redergin dihydroergotoxine mesilate,"ergoloid mesylates, USP"
316130.0,75,lamotrigine 200 mg zydus,lamotrigine 200 MG
1601374.0,100,palbociclib,palbociclib
202702.0,100,medrol,Medrol
433798.0,88,alprazolam tab 0.5 mg er,24 HR alprazolam 0.5 MG Extended Release Oral Tablet
28908.0,100,loxoprofen,loxoprofen
42351.0,67,lithium carbonate oba,lithium carbonate
203114.0,100,amiodarone,amiodarone hydrochloride
218755.0,50,nivea moisturizer,<NA>
1441664.0,100,aconitine,aconitine
897649.0,88,verapamil hydrochloride oral 240.0 mg extend release tablet,verapamil hydrochloride 240 MG Extended Release Oral Tablet
183379.0,100,rivastigmin,rivastigmine
25789.0,100,glimepiride,glimepiride
7983.0,100,procaine penicillin,penicillin G procaine
794229.0,63,low dose bayer aspirin 81,aspirin 81 MG Delayed Release Oral Tablet [Bayer Aspirin]
3628.0,8,dormicum 15 mg,dopamine
317009.0,67,inhalation cutaneous powder,Topical Powder
298869.0,75,eplerbenone,eplerenone
892246.0,100,levothyroxine sodium oral 0.1 mg tablet,levothyroxine sodium 0.1 MG Oral Tablet
4603.0,100,furosemid,furosemide
218977.0,100,oxistat,Oxistat
198188.0,83,ramipril oral 2.5 mg,ramipril 2.5 MG Oral Capsule
1007537.0,100,glucosamine chondroitin msm,chondroitin sulfates / glucosamine / methylsulfonylmethane
1423683.0,13,pain cream precison rx,glyceryl palmitostearate
1606471.0,25,muscerol,muscone
10368.0,33,bricanyl turbohaler/terbutalin,terbutaline
483860.0,50,targosid intravenous 30 mg powder and solvent for solution injection,<NA>
197944.0,80,methocarbam 750 mg tab camb,methocarbamol 750 MG Oral Tablet
2258814.0,80,calcium plus vitamin d d3,<NA>
215568.0,67,genuine bayer aspirin,Bayer Aspirin
261417.0,67,quinapril and hydrochlorothiazide ongoing,hydrochlorothiazide / quinapril
328489.0,43,minocycline 100 mg mfr.watson labs/dist,minocycline 100 MG
358819.0,80,oxaliplatin teva 5mg/ml,oxaliplatin 5 MG/ML
203832.0,50,paroxat,Parnate
4632.0,50,b-galactosidase,<NA>
214182.0,50,paracetamol + hydrocodone bitartrate,acetaminophen / hydrocodone
487047.0,67,brompheniramine maleate\dextromethorphan hydrobromide\pseudoephedrine hydrochloride oral,brompheniramine / dextromethorphan / pseudoephedrine Oral Suspension
9853.0,100,na,sodium
4337.0,75,fentantyl,fentanyl
81973.0,50,powder laxative,<NA>
1426255.0,50,glycolic acid,glycol stearate
141625.0,100,colesevelam,colesevelam hydrochloride
,0,oral 100.0 mg,<NA>
199318.0,45,venolat oral tablet,folic acid 5 MG Oral Tablet
705824.0,100,zoledronic acid injection 5 mg /100 ml,100 ML zoledronic acid 0.05 MG/ML Injection
2283546.0,33,oral 1.0 df,cholecalciferol 0.095 MG / folic acid 1 MG Oral Tablet
362.0,33,epinephrine intravenous drip,epinephrine hydrochloride
4981.0,100,aurothiomalate sodium,gold sodium thiomalate
6835.0,100,methimazole,methimazole
261702.0,100,xopenex,Xopenex
857007.0,71,norco 7.5/325  tablet,acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Norco]
261551.0,50,lantus flexpen,Lantus
284799.0,50,nexium dr,Nexium
1309490.0,50,ginseng beeswax;glycine max seed oil;panax root,Panax ginseng root water extract
352845.0,100,ocuvite and lutein,Ocuvite Lutein
214183.0,100,oxycodone/acetaminophen,acetaminophen / oxycodone
1442200.0,100,red yeast,Monascus purpureus
2276635.0,50,woman 's daily multivitamin tablet,<NA>
6650.0,100,marijuana,<NA>
6141.0,50,ketonal forte,<NA>
259966.0,80,methylprednisolone tablet usp 4 mg,methylprednisolone 4 MG Oral Tablet
617312.0,55,atorvastatin calcium\ezetimibe oral 1 df film coated tablet,atorvastatin 10 MG Oral Tablet
707418.0,67,antibacterial soap,<NA>
1893445.0,25,ass 100 ct,<NA>
4719.0,100,gemfibrozil,gemfibrozil
142442.0,100,naproxen sodium,naproxen sodium
2054489.0,100,cefuroxime axetil  tablet,<NA>
85762.0,50,ritonavir + tipranavir,ritonavir
316131.0,92,lamotrogine 25 mg,lamotrigine 25 MG
202433.0,75,tylenon,Tylenol
312829.0,78,risperidone aurobindo film-coated tablet 0.5 mg,risperidone 0.5 MG Oral Tablet
71722.0,100,docusate sodium,docusate sodium
605203.0,100,glucosamine and chondroitin,<NA>
974527.0,33,thyme/ginger tea,thyme allergenic extract
,0,motilitone tablet,<NA>
258337.0,100,triamterene with hctz,hydrochlorothiazide / triamterene
33738.0,25,proglitozine,pioglitazone
200064.0,28,lamprozol oral 30.0 mg,letrozole 2.5 MG Oral Tablet
1309389.0,50,relmus,emu oil
150816.0,100,imipramine,imipramine hydrochloride
,0,oral 20.0 mg,<NA>
824296.0,100,banzel,Banzel
607878.0,75,b6 + b12 folic acid,<NA>
105586.0,100,methotrexate sodium oral 10 mg tablet,methotrexate 10 MG Oral Tablet
203130.0,50,nortriptyline hc,nortriptyline hydrochloride
1008035.0,80,calcium citrate/;magnesium citrate,calcium citrate / cholecalciferol / magnesium citrate
52175.0,50,losartan/hclz,losartan
2361334.0,50,viamin c,<NA>
604360.0,31,super food herbal sup + vitaminc,<NA>
6876.0,50,alpha methy dopa,methyldopa
1007909.0,40,valoron n naloxone hydrochloride;tilidine hy,naloxone / tilidine
312076.0,83,olanzapine teva 10 mg orodispersible tablet,olanzapine 10 MG Disintegrating Oral Tablet
2047602.0,60,erythropoietin subcutaneous 2000.0 iu solution for injection,1 ML epoetin alfa-epbx 2000 UNT/ML Injection [Retacrit]
238318.0,63,white petrolatum-mineral oil eye ointment,<NA>
38413.0,33,tora dol,torsemide
583582.0,60,vitamin b complex;ascorbic acid;vitamins nos unk oral,<NA>
1895.0,50,calcio base,calcium
372651.0,100,losartan oral tablet,losartan Oral Tablet
4603.0,14,furosemida sandoz 40 mg comprimido efg 30,furosemide
9853.0,100,na,sodium
82112.0,75,tradodone hcl,trazodone hydrochloride
1295836.0,67,bc powder arthritis strength oral,BC Arthritis Oral Powder Product
242446.0,33,ophthalmic 0.8 ml ear drop,ofloxacin 3 MG/ML Otic Solution
309322.0,57,oral 250 mg granule,clarithromycin 50 MG/ML Oral Suspension
1799706.0,67,intralipid 20 intravenous 250 ml,250 ML soybean oil 200 MG/ML Injection [Intralipid]
2369407.0,63,capsaicin\eucalyptus oil\methyl salicylate\racementhol topical,camphor / capsaicin / methyl salicylate Topical Oil
1166568.0,67,ixempra for inj,IXEMPRA Injectable Product
1094103.0,100,phenazopyridine 200 mg,phenazopyridine hydrochloride 200 MG
352376.0,100,ethinyl estradiol\etonogestrel,ethinyl estradiol / etonogestrel
214824.0,50,sevelamar,sevelamer
1597377.0,83,ombitasvir w/paritaprevir/ritonavir oral tablet,ombitasvir / paritaprevir / ritonavir Oral Tablet
200329.0,83,omeprazole oral 40.0 mg capsule,omeprazole 40 MG Delayed Release Oral Capsule
2045382.0,30,parenteral 50.0 ug powder,30 ACTUAT fluticasone furoate 0.05 MG/ACTUAT Dry Powder Inhaler [Arnuity]
1314362.0,100,ethylene,ethylene
217184.0,86,b-complex with vitamin c-folic acid,<NA>
24305.0,75,erdosteina,erdosteine
118463.0,100,olmesartan medoxomil,olmesartan medoxomil
855626.0,86,diclofenac epolamine topical patch 1.3,Twice-Daily diclofenac epolamine 0.013 MG/MG Medicated Patch
790680.0,50,sumal,<NA>
26225.0,100,ondansetron hydrochloride,ondansetron
993069.0,100,lumizyme,Lumizyme
2284708.0,50,mega food,<NA>
372595.0,60,levothyroxine oral 1 df tablet,levothyroxine Oral Tablet
8588.0,75,kalsium,potassium
377747.0,100,lindane lotion,lindane Topical Lotion
581255.0,38,breva aerosol,Prosol
655447.0,100,chlorhexidine solution,<NA>
152021.0,75,dicycloamine hcl,dicyclomine hydrochloride
510.0,100,allergen,<NA>
892612.0,43,blue crab cutaneous solution for injection,crab allergenic extract Injectable Solution
1791591.0,57,biapenem intravenous .3 g injection,ifosfamide 3000 MG Injection [Ifex]
217227.0,67,vascazen 1 g,<NA>
2955.0,100,curcumin,curcumin
1049615.0,75,oxycodone hydrochloride oral 5.0 mg solution,oxycodone hydrochloride 20 MG/ML Oral Solution
284764.0,100,lescol xl,<NA>
4507.0,100,fluspirilene,fluspirilene
61455.0,100,mizolastina,mizolastine
360318.0,100,sirolimus 2 mg,sirolimus 2 MG
1536581.0,50,xifan,Xulane
1152986.0,100,benzoyl peroxide\salicylic acid topical,benzoyl peroxide / salicylic acid Topical Product
897596.0,21,allo?ct 300 mg 300.0,24 HR verapamil hydrochloride 300 MG Extended Release Oral Capsule
850306.0,17,anti hypert ensive,Besivance
,0,intravenous 1000.0 ml,<NA>
11248.0,100,vitamin b 12,vitamin B12
18867.0,75,benazeperil,benazepril
352393.0,33,abilify i m,Abilify
1995.0,50,i-caps,<NA>
2181996.0,33,fulvestrant injection single use prefille syrinx,<NA>
320864.0,75,crestar,Crestor
89905.0,50,multi vitamin nature make,<NA>
9853.0,100,na,sodium
48470.0,100,creon,Creon
353527.0,25,uralos max,Urelle
1311504.0,50,adc al,aluminum
669012.0,100,allergy and cold pe,<NA>
4301.0,100,omega 3 fatty acid,omega-3 fatty acids
,0,motilexclebopride maleate,<NA>
322249.0,100,frovatriptan succinate monohydrate,frovatriptan succinate
202779.0,50,aristocort cream,<NA>
,0,coaprovel,<NA>
1174346.0,40,no tear ophthalmic,Bion Tears Ophthalmic Product
221124.0,100,metoprolol s,metoprolol succinate
7486.0,100,n2o,nitrous oxide
617296.0,60,amoxicillin\clavulanate potassium oral 500.0 mg,amoxicillin 500 MG / clavulanate 125 MG Oral Tablet
281.0,75,acyclovit,acyclovir
1484918.0,50,sovaldi 400 mg gilead science,sofosbuvir 400 MG [Sovaldi]
392643.0,100,tramadol/acetaminophen,<NA>
218635.0,67,natural thyroid medicine,<NA>
2068.0,33,unspecified diabete shot,carbutamide
1013628.0,42,calcium carbonate\cholecalciferol 1.0 df film-coated tablet,levomefolate calcium 0.451 MG Oral Tablet
565323.0,28,crinozol oral 100.0 mg,progesterone 0.08 MG/MG [Crinone]
42527.0,50,amfotericine,amphotericin
859032.0,100,pramipexole 0.125 mg,pramipexole dihydrochloride 0.125 MG
372588.0,100,levofloxacin  tablet,levofloxacin Oral Tablet
6387.0,100,lidocaine,lidocaine
203167.0,100,keflex,Keflex
9500.0,38,beta carotine,rutin
327148.0,50,symbicort spray,Symbicort
7646.0,50,omeprazole teva,omeprazole
1856080.0,25,juice plus whole food capsules-fruit/vegetable/vineyard blend,<NA>
477560.0,50,fenofibrate oral 1.0 df film-coated tablet,fenofibrate 145 MG Oral Tablet
198148.0,80,apo prednisone tab 50 mg,prednisone 50 MG Oral Tablet
203831.0,25,biosedon s,Biolon
20206.0,17,urbason 250 mg,carbarson
2388387.0,100,influenza vaccine,<NA>
215407.0,100,armour thyroid,Armour Thyroid
284245.0,67,famotidine other 40.0 mg tablet,famotidine 40 MG Oral Tablet
1743255.0,100,adzenys xr?odt,<NA>
815308.0,100,polyethylene glycol 3350\potassium chloride\sodium bicarbonate\sodium chloride,polyethylene glycol 3350 / potassium chloride / sodium bicarbonate / sodium chloride
854241.0,27,enoxaparin 80 mg sq once daily,0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe
466581.0,43,acetaminophen\caffeine\promethazine\salicylamide 1.0 mg,acetaminophen / caffeine / salicylamide
308165.0,46,amobante oral 10.0 mg tablet,amobarbital 50 MG Oral Tablet
725105.0,58,"exelon 9,5mg/24h 1.0 df transdermal patch",24 HR rivastigmine 0.396 MG/HR Transdermal System [Exelon]
1992276.0,71,clobetasol propionate topical 0.05 pct cutaneous foam,<NA>
371602.0,100,clozapine tablet,clozapine Oral Tablet
1489118.0,50,preservision ards2,<NA>
82000.0,100,colace,Colace
863.0,50,antacid tablet,<NA>
435363.0,33,hoggar balance,<NA>
1000140.0,67,estrogen conjugated\medroxyprogesterone acetate 5 mg,medroxyprogesterone acetate 5 MG
43611.0,33,latanoprost opthalmic drop,latanoprost
4055.0,100,erythromycine,erythromycin estolate
197886.0,100,lisino/hctz tab 20?12.5 mg,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet
202715.0,50,noiromin,<NA>
1171147.0,67,euflexxa injection,Euflexxa Injectable Product
11253.0,67,calcidose vitamine d,vitamin D
351429.0,11,cq?10,24 HR nicotine 0.875 MG/HR Transdermal System [Nicoderm C-Q]
4449.0,100,fluanxol,<NA>
10582.0,100,levothyroxine,levothyroxine
1940250.0,50,multivitamin formulation,<NA>
1670012.0,75,treciba,Tresiba
539812.0,50,respicare,Vesicare
202982.0,100,taxotere,Taxotere
1010032.0,38,lido visc/diphen/maalox oral 10 ml,lidocaine hydrochloride 10 MG/ML
892588.0,75,morphine 2 mg,morphine sulfate 2 MG/ML
203199.0,100,protriptyline hydrochloride,protriptyline hydrochloride
809864.0,100,c1?inhibitor plasma derive,C1 esterase inhibitor (human)
9853.0,100,na,sodium
371325.0,100,cefdinir oral capsule,cefdinir Oral Capsule
144254.0,100,lortab,Lortab
4890.0,50,gluthione,glutathione
142432.0,50,clonipan,clonidine hydrochloride
1486130.0,100,prenate,<NA>
217389.0,80,gramicidin+neomycin+polymyxin b sandoz,<NA>
348719.0,56,tobramycin 300mg/5ml akorn inc,tobramycin 60 MG/ML Inhalation Solution
153165.0,75,lypitor,Lipitor
825180.0,64,bayer chewable low dose aspirin orange flavor oral tablet,aspirin 81 MG Chewable Tablet [Bayer Aspirin]
4821.0,75,glipazide,glipizide
1546423.0,38,aspro acetylsalicylic acid,ethyl salicylate
161.0,100,paracetamol,acetaminophen
751616.0,54,bystloic oral 10.0 mg,nebivolol 10 MG Oral Tablet [Bystolic]
323640.0,100,remodulin,Remodulin
9853.0,100,na,sodium
284635.0,100,fluticasone salmeterol,fluticasone / salmeterol
1604540.0,100,toujeo,Toujeo
310384.0,100,fluoxetine hcl oral capsule 10 mg,fluoxetine 10 MG Oral Capsule
4492.0,63,5 fluoroacyl,fluorouracil
308416.0,100,aspirin 81 oral tablet delay release mg,aspirin 81 MG Delayed Release Oral Tablet
11253.0,40,"vitamin d 50,000 q wk",vitamin D
9143.0,100,ranitidine,ranitidine
280611.0,100,bemiparin,bemiparin
194881.0,50,brinzolamide timolol,brinzolamide
214199.0,67,ipratropium/albuterol duoneb,albuterol / ipratropium
763540.0,75,corvazal,<NA>
597850.0,68,nateglinide/anegrelide oral 0.5 mg,anagrelide 0.5 MG Oral Capsule
1047755.0,25,topical cutaneous liquid,ethanol 0.75 ML/ML Topical Solution
1489118.0,67,ared2,<NA>
2184.0,75,cefoperazin,cefoperazone
36387.0,100,senna s,"sennosides, USP"
7419.0,100,nifuratel,nifuratel
710529.0,100,nuvare,NuvaRing
9853.0,100,na,sodium
329760.0,80,ferrous sulfate 325 mg bid,ferrous sulfate 325 MG
125921.0,100,ginger root,ginger root
42769.0,17,alpha lipoeic acid,licorice
151612.0,50,dexedrine ir,Dexedrine
236474.0,25,fexofamidine,fexofenadine hydrochloride
226716.0,100,aspirin;dipyridamole,aspirin / dipyridamole
19143.0,100,beta?carotene,beta carotene
151679.0,25,spectone,<NA>
235824.0,100,azelastine,azelastine hydrochloride
310430.0,80,gabapentin oral 100 mg,gabapentin 100 MG Oral Capsule
9853.0,100,na,sodium
218402.0,50,mirapex generic,Mirapex
1661017.0,50,abt,ABT-925
8156.0,50,altase f,phenylalanine
7405.0,100,niacinamide,niacinamide
2004020.0,75,bupivacaine hydrochloride 0.25,<NA>
370547.0,100,allopurinol tablet,allopurinol Oral Tablet
630357.0,100,ortho-prefest,<NA>
2099289.0,100,inotersen,inotersen
29046.0,50,lisiniprol,lisinopril
311277.0,80,lansoprazole 30 mg capsule,lansoprazole 30 MG Delayed Release Oral Capsule
1088213.0,100,propafenone hcl er,<NA>
695.0,50,aminophenazone/phenacetin,aminopyrine
1986379.0,33,egg yolk\glycerin\olive oil\phospholipid 20.0 ml,<NA>
3390.0,50,de?ursil,diethylstilbestrol
215666.0,75,bethane,<NA>
215488.0,100,aveeno,<NA>
370515.0,44,acetaminophen\caffeine\carisoprodol\diclofenac oral 1.0 df tablet,acetaminophen / caffeine Oral Tablet
1309398.0,100,aesculus hippocastanum bark,Aesculus hippocastanum bark extract
705258.0,100,acetaminophen dextromethorphan doxylamine,acetaminophen / dextromethorphan / doxylamine
381044.0,75,isosorbide mononitrate 60.0 mg,isosorbide mononitrate 60 MG
28889.0,50,loratadin ratiopharm,loratadine
1790678.0,67,simvastatin oral,simvastatin Oral Suspension
2108327.0,40,steri neb cromolyn inhalation,cromolyn Inhalation Powder
8120.0,75,phenazopyrindine,phenazopyridine
135123.0,50,erector,Flector
1191.0,50,asprpin,aspirin
2174725.0,43,women over 50 multi,<NA>
1591942.0,100,ledipasvir\sofosbuvir,ledipasvir / sofosbuvir
4955.0,75,glycopyrroloate,glycopyrrolate
702433.0,43,coppertone sport dry topical lotion,menthol 30 MG/ML / methyl salicylate 150 MG/ML Topical Lotion
9504.0,50,ursamic,S-adenosylmethionine
1894.0,75,calcitriolo,calcitriol
1245091.0,75,nioxil,Nioxin
353138.0,40,5 hour energy drink,<NA>
104129.0,100,psyllium husk,ispaghula husk
1011657.0,67,krystexxa intravenous 8 mg,1 ML pegloticase 8 MG/ML Injection [Krystexxa]
859424.0,88,rosuvastatin oral 5.0 mg film-coated tablet,rosuvastatin calcium 5 MG Oral Tablet
197596.0,100,dicloxacillin sodium oral 500 mg capsule,dicloxacillin 500 MG Oral Capsule
30003.0,100,milnacipran,milnacipran hydrochloride
643.0,50,amicacina amikacin sulfate,amikacin sulfate
214182.0,50,hydrocodone-acetaminophen remedeine0,acetaminophen / hydrocodone
861597.0,57,pentamidine inhalation 300 mg vapour,pentamidine isethionate 50 MG/ML Inhalation Solution
607692.0,100,apo?cal,<NA>
352792.0,50,throid,Nature-Throid
153972.0,25,hydrochloriquin,hydroxychloroquine sulfate
