prod_ai,drug_name,eu_num,hum_or_vet,procedure_type
adalimumab,Imraldi,EU/1/17/1216,Human,Centralised
adalimumab,SOLYMBIC,EU/1/16/1163,Human,Centralised
adalimumab,Trudexa,EU/1/03/257,Human,Centralised
adefovir dipivoxil,Hepsera,EU/1/03/251,Human,Centralised
afamelanotide,Scenesse,EU/1/14/969,Human,Centralised
afatinib,Giotrif,EU/1/13/879,Human,Centralised
aflibercept,Eylea,EU/1/12/797,Human,Centralised
aflibercept,ZALTRAP,EU/1/12/814,Human,Centralised
afoxolaner,NexGard,EU/2/13/159,Veterinary,Centralised
Afoxolaner / milbemycin oxime,NEXGARD SPECTRA,EU/2/14/177,Veterinary,Centralised
Agalsidase alfa,Replagal,EU/1/01/189,Human,Centralised
Agalsidase beta,Fabrazyme,EU/1/01/188,Human,Centralised
agomelatine,Thymanax,,Human,Centralised Refusal
agomelatine,"    ,,",EU/1/08/498,Human,Centralised
agomelatine,Valdoxan,EU/1/08/499,Human,Centralised
alatrofloxacin,Trovan IV,EU/1/98/060,Human,Centralised
alatrofloxacin,Turvel IV,EU/1/98/062,Human,Centralised
albiglutide,Eperzan,EU/1/13/908,Human,Centralised
albutrepenonacog alfa,IDELVION,EU/1/16/1095,Human,Centralised
alectinib,Alecensa,EU/1/16/1169,Human,Centralised
Alemtuzumab,Lemtrada,EU/1/13/869,Human,Centralised
Alemtuzumab,MabCampath,EU/1/01/193,Human,Centralised
Alendronate sodium / Colecalciferol,Actonel Combi D,,Human,Referral
Alendronate sodium / Colecalciferol,Adrovance,EU/1/06/364,Human,Centralised
Alendronate sodium / Colecalciferol,Fosavance,EU/1/05/310,Human,Centralised
Alendronate sodium / Colecalciferol,Norsed Combi D and associated names,,Human,Referral
Alendronate sodium / Colecalciferol,Norsed plus Calcium D,,Human,Referral
Alendronate sodium / Colecalciferol,Norsedcombi,,Human,Referral
Alendronate sodium / Colecalciferol,Opticalcio D3,,Human,Referral
Alendronate sodium / Colecalciferol,Optinate Plus Ca & D,,Human,Referral
alendronate sodium trihydricum,Alendros 70,,Human,Referral
alendronic acid,Alendonicht,,Human,Referral
alendronic acid,Alendronate Hexal,,Human,Referral
alendronic acid,Alendronate Sandoz,,Human,Referral
alendronic acid,Forosa,,Human,Referral
Alendronic acid and alfacalcidol,Tevabone,,Human,Referral
Alendronic acid and alfacalcidol,Valebo,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Acide Ibandronique,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Acido Alendronico,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Acido Ibandronico,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Acido clodronico,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Acrel,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Acrelcombi,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",ActoCalD,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Actocalcio,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Actokit,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Actonel,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Adelan semanal,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Adronat,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Akost,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Aldrion,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Aledrolet,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alefos,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alehelm,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alemol,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alenat,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alenato,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alenax,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendis,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendor,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendorion,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendral,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendran,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendratol,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendrion,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendrixen,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendro,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",AlendroLek,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",AlendroLich,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendroarrow,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendrocare,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendrofarm,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendrogen,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendrogyn,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendrohexal,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendrokit,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendromax,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendromed,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendron,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendron beta,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendronat,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendronate,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendronate sodium,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendronato,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendronax,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendroninezuur,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendronorm,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendronsav,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendronstad,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendronsäure,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendroonhape,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendropol,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendros,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendrossa,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alendrostad,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alenic,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alenotop,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alenpol,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alenvir semanal,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alenwin,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Aleostito,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Alost,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Amidrox,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Andronik,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Anfozan,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Apo-Alendronat,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Aredia,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Aronade,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Arthroplus,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Aston,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Atronate,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Aurena,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Aurodren,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Avestra,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Axidronat,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Baxogar,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Bifoal Semanal,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Bifodron,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Bonasol,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Bondapen,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Boneact,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Bonefos,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Bonendro,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Bonmate,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Calbion Semanal,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Calcisedron-D,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Caldronate,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Claronate,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Clasteon,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Clastoban,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Clastodron,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Climaclod,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Clodeosten,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Clodrobon,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Clodron,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Clodronate de sodium,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Clodronato,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Clodronic acid,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Clody,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Dargol,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Debenal,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Dedarin,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Delfoza,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Densidron,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Deparex,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Didrokit,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Didronel,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Difonate,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Difosfon-S,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Difosfonal,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Dimidronat,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Diporos,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Disodio Clodronato,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Disodium Clodronate,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Disodium Pamidronate,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Doryx,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Dralenos,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Drofaz,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Dronacid,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Dronal,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Dronatex,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Dronavic,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",EN-por,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Ebedronat,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Ellidronat,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Enimon,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Epolar,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Epsilonat,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Etanorden,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Etical,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Etidron,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Etidronat,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Etidronate,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Etidronic acid,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Farmemax,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Fasamax,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Flador,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Forosa,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Fortimax,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Fortipan,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Fosalen,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Fosamax,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Fosandron,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Fosatrol,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Fosazom,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Fosteofos,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Fostepor,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Fostolin,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Genalen,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Gendarin,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Gendron,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Hantrux,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Ibamyl,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Ibandromylan,,Human,Referral
"alendronic acid, clodronic acid, etidronic acid, ibandronic acid, neridronic acid, pamidronic acid, risedronic acid and tiludronic acid",Ibandronate,,Human,Referral
