prod_ai,trade_name,nda_num
DEXAMETHASONE,DECASPRAY,12731
BACITRACIN ZINC; POLYMYXIN B SULFATE,POLYSPORIN,50167
PIPERONYL BUTOXIDE; PYRETHRINS,RID MOUSSE,21043
HEXACHLOROPHENE,SEPTISOL,17424
HEXACHLOROPHENE,TURGEX,18375
NONOXYNOL-9,DELFEN,14349
CHOLESTYRAMINE,CHOLYBAR,71621
CHOLESTYRAMINE,CHOLYBAR,71739
COLESEVELAM HYDROCHLORIDE,WELCHOL,210895
AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE,"LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN",200218
AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE,"LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN",206006
AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE,"LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN",202588
AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE,PREVPAC,50757
DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,63187
LANSOPRAZOLE; NAPROXEN,PREVACID NAPRAPAC 250 (COPACKAGED),21507
LANSOPRAZOLE; NAPROXEN,PREVACID NAPRAPAC 375 (COPACKAGED),21507
LANSOPRAZOLE; NAPROXEN,PREVACID NAPRAPAC 500 (COPACKAGED),21507
DULOXETINE HYDROCHLORIDE,CYMBALTA,21427
DULOXETINE HYDROCHLORIDE,CYMBALTA,21427
DULOXETINE HYDROCHLORIDE,CYMBALTA,21427
DIVALPROEX SODIUM,DEPAKOTE,19680
DIDANOSINE,DIDANOSINE,90094
DIDANOSINE,DIDANOSINE,90094
DIDANOSINE,DIDANOSINE,90094
DIDANOSINE,DIDANOSINE,90094
DIDANOSINE,DIDANOSINE,77167
DIDANOSINE,DIDANOSINE,77167
DIDANOSINE,DIDANOSINE,77167
DIDANOSINE,DIDANOSINE,90788
DIDANOSINE,DIDANOSINE,90788
DIDANOSINE,DIDANOSINE,90788
DIDANOSINE,DIDANOSINE,90788
DIVALPROEX SODIUM,DIVALPROEX SODIUM,213181
DIVALPROEX SODIUM,DIVALPROEX SODIUM,78979
DIVALPROEX SODIUM,DIVALPROEX SODIUM,90407
DIVALPROEX SODIUM,DIVALPROEX SODIUM,211505
DIVALPROEX SODIUM,DIVALPROEX SODIUM,78919
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90776
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90776
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90776
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,208706
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,208706
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,208706
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,208706
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,202949
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,202949
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,202949
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,203197
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,203197
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,203197
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90780
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90780
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90780
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,202045
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,202045
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,202045
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90778
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90778
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90778
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,203088
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,203088
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,203088
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,203088
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,211310
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,211310
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,211310
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,204343
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,204343
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,204343
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,202336
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,202336
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,202336
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90694
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90694
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90694
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90694
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,204815
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,204815
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,204815
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90723
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90723
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90723
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,206653
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,206653
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,206653
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,210599
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,210599
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,210599
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90745
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90745
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90745
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90783
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90783
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90783
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90774
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90774
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90774
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,207219
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,207219
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,207219
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90739
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90739
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90739
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90728
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90728
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,90728
ERYTHROMYCIN,ERYC,50536
ERYTHROMYCIN,ERYC,62546
ERYTHROMYCIN,ERYC,62618
ERYTHROMYCIN,ERYC,62338
ERYTHROMYCIN,ERYC 125,62648
ERYTHROMYCIN,ERYC SPRINKLES,50593
ERYTHROMYCIN,ERYTHROMYCIN,62746
ERYTHROMYCIN,ERYTHROMYCIN,63098
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,208333
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,208333
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,209647
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,209647
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,213859
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,213859
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,205606
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,205606
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,213158
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,213158
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,212949
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,212949
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,78279
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,78279
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,209495
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,209495
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,207265
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,207265
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,202784
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,211977
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,202784
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,211977
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,78003
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,78003
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,205563
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,205563
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,78936
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,78936
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,209735
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,209735
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,203636
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,203636
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,206296
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,206296
FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,76237
FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,78572
LANSOPRAZOLE,LANSOPRAZOLE,203957
LANSOPRAZOLE,LANSOPRAZOLE,203957
LANSOPRAZOLE,LANSOPRAZOLE,207394
LANSOPRAZOLE,LANSOPRAZOLE,207394
LANSOPRAZOLE,LANSOPRAZOLE,203964
LANSOPRAZOLE,LANSOPRAZOLE,203964
LANSOPRAZOLE,LANSOPRAZOLE,91269
LANSOPRAZOLE,LANSOPRAZOLE,202194
LANSOPRAZOLE,LANSOPRAZOLE,91269
LANSOPRAZOLE,LANSOPRAZOLE,203083
LANSOPRAZOLE,LANSOPRAZOLE,203083
LANSOPRAZOLE,LANSOPRAZOLE,205868
LANSOPRAZOLE,LANSOPRAZOLE,205868
LANSOPRAZOLE,LANSOPRAZOLE,91212
LANSOPRAZOLE,LANSOPRAZOLE,91212
LANSOPRAZOLE,LANSOPRAZOLE,207156
LANSOPRAZOLE,LANSOPRAZOLE,207157
LANSOPRAZOLE,LANSOPRAZOLE,207156
LANSOPRAZOLE,LANSOPRAZOLE,203187
LANSOPRAZOLE,LANSOPRAZOLE,90763
LANSOPRAZOLE,LANSOPRAZOLE,90763
LANSOPRAZOLE,LANSOPRAZOLE,201921
LANSOPRAZOLE,LANSOPRAZOLE,203306
LANSOPRAZOLE,LANSOPRAZOLE,201921
LANSOPRAZOLE,LANSOPRAZOLE,202319
LANSOPRAZOLE,LANSOPRAZOLE,90331
LANSOPRAZOLE,LANSOPRAZOLE,90331
LANSOPRAZOLE,LANSOPRAZOLE,202637
LANSOPRAZOLE,LANSOPRAZOLE,91509
LANSOPRAZOLE,LANSOPRAZOLE,77255
LANSOPRAZOLE,LANSOPRAZOLE,77255
LANSOPRAZOLE,LANSOPRAZOLE,202727
LANSOPRAZOLE,LANSOPRAZOLE,202176
LANSOPRAZOLE,LANSOPRAZOLE,202176
LANSOPRAZOLE,LANSOPRAZOLE,203203
LANSOPRAZOLE,LANSOPRAZOLE,203203
LANSOPRAZOLE,LANSOPRAZOLE,202366
LANSOPRAZOLE,LANSOPRAZOLE,202366
ESOMEPRAZOLE MAGNESIUM,NEXIUM,21153
ESOMEPRAZOLE MAGNESIUM,NEXIUM,21153
OMEPRAZOLE,OMEPRAZOLE,75347
OMEPRAZOLE,OMEPRAZOLE,75347
OMEPRAZOLE,OMEPRAZOLE,75347
OMEPRAZOLE,OMEPRAZOLE,76048
OMEPRAZOLE,OMEPRAZOLE,76048
OMEPRAZOLE,OMEPRAZOLE,76048
OMEPRAZOLE,OMEPRAZOLE,203270
OMEPRAZOLE,OMEPRAZOLE,203270
OMEPRAZOLE,OMEPRAZOLE,203270
OMEPRAZOLE,OMEPRAZOLE,203481
OMEPRAZOLE,OMEPRAZOLE,203481
OMEPRAZOLE,OMEPRAZOLE,203481
OMEPRAZOLE,OMEPRAZOLE,75576
OMEPRAZOLE,OMEPRAZOLE,78490
OMEPRAZOLE,OMEPRAZOLE,75576
OMEPRAZOLE,OMEPRAZOLE,78490
OMEPRAZOLE,OMEPRAZOLE,75576
OMEPRAZOLE,OMEPRAZOLE,78490
OMEPRAZOLE,OMEPRAZOLE,91672
OMEPRAZOLE,OMEPRAZOLE,91672
OMEPRAZOLE,OMEPRAZOLE,91672
OMEPRAZOLE,OMEPRAZOLE,204012
OMEPRAZOLE,OMEPRAZOLE,204012
OMEPRAZOLE,OMEPRAZOLE,75785
OMEPRAZOLE,OMEPRAZOLE,75785
OMEPRAZOLE,OMEPRAZOLE,75785
OMEPRAZOLE,OMEPRAZOLE,75410
OMEPRAZOLE,OMEPRAZOLE,75410
OMEPRAZOLE,OMEPRAZOLE,75410
OMEPRAZOLE,OMEPRAZOLE,202384
OMEPRAZOLE,OMEPRAZOLE,75876
OMEPRAZOLE,OMEPRAZOLE,205070
OMEPRAZOLE,OMEPRAZOLE,75876
OMEPRAZOLE,OMEPRAZOLE,205070
OMEPRAZOLE,OMEPRAZOLE,75876
OMEPRAZOLE,OMEPRAZOLE,205070
OMEPRAZOLE,OMEPRAZOLE,75757
OMEPRAZOLE,OMEPRAZOLE,75757
OMEPRAZOLE,OMEPRAZOLE,76515
OMEPRAZOLE,OMEPRAZOLE,204661
OMEPRAZOLE,OMEPRAZOLE,204661
OMEPRAZOLE,OMEPRAZOLE,212977
OMEPRAZOLE,OMEPRAZOLE,212977
OMEPRAZOLE,OMEPRAZOLE,91352
OMEPRAZOLE,OMEPRAZOLE,91352
OMEPRAZOLE,OMEPRAZOLE,91352
LANSOPRAZOLE,PREVACID,20406
LANSOPRAZOLE,PREVACID,20406
LANSOPRAZOLE,PREVACID 24 HR,22327
OMEPRAZOLE,PRILOSEC,19810
OMEPRAZOLE,PRILOSEC,19810
OMEPRAZOLE,PRILOSEC,19810
FLUOXETINE HYDROCHLORIDE,PROZAC WEEKLY,21235
DIDANOSINE,VIDEX EC,21183
DIDANOSINE,VIDEX EC,21183
DIDANOSINE,VIDEX EC,21183
DIDANOSINE,VIDEX EC,21183
RABEPRAZOLE SODIUM,ACIPHEX SPRINKLE,204736
RABEPRAZOLE SODIUM,ACIPHEX SPRINKLE,204736
MONOMETHYL FUMARATE,BAFIERTAM,210296
MESALAMINE,DELZICOL,204412
DEXLANSOPRAZOLE,DEXILANT,22287
DEXLANSOPRAZOLE,DEXILANT,22287
DEXLANSOPRAZOLE,DEXLANSOPRAZOLE,202294
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210499
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210499
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210440
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210440
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210402
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210402
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210305
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210305
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210309
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210309
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210500
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210500
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210226
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210226
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210460
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210460
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210531
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210531
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210382
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210382
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210538
DIMETHYL FUMARATE,DIMETHYL FUMARATE,210538
DOXYCYCLINE HYCLATE,DORYX,50582
DOXYCYCLINE HYCLATE,DORYX,50582
DOXYCYCLINE HYCLATE,DORYX,62653
DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,65281
DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,65281
DULOXETINE HYDROCHLORIDE,DRIZALMA SPRINKLE,212516
DULOXETINE HYDROCHLORIDE,DRIZALMA SPRINKLE,212516
DULOXETINE HYDROCHLORIDE,DRIZALMA SPRINKLE,212516
DULOXETINE HYDROCHLORIDE,DRIZALMA SPRINKLE,212516
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,209716
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,209339
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,207673
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,208939
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,212507
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,212376
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,207193
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,212866
ESOMEPRAZOLE STRONTIUM,ESOMEPRAZOLE STRONTIUM,202342
ESOMEPRAZOLE STRONTIUM,ESOMEPRAZOLE STRONTIUM,202342
CHOLINE FENOFIBRATE,FENOFIBRIC ACID,200920
CHOLINE FENOFIBRATE,FENOFIBRIC ACID,200920
CHOLINE FENOFIBRATE,FENOFIBRIC ACID,208705
CHOLINE FENOFIBRATE,FENOFIBRIC ACID,208705
CHOLINE FENOFIBRATE,FENOFIBRIC ACID,201573
CHOLINE FENOFIBRATE,FENOFIBRIC ACID,201573
CHOLINE FENOFIBRATE,FENOFIBRIC ACID,212598
